2025-11-10,,,,,,,,,,,,,,,,,,,,,,,,,
American Express Co,AXP,3M Co,MMM,Amgen Inc,AMGN,Apple Inc,AAPL,Boeing Co,BA,Caterpillar Inc,CAT,Chevron Corp,CVX,Cisco Systems Inc,CSCO,Coca-Cola Co,KO,Dow Inc,DOW,Goldman Sachs Group Inc,GS,Home Depot Inc,HD,Honeywell International Inc,HON
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
2024-11-11 16:00:00,"292,97",2024-11-11 16:00:00,133,2024-11-11 16:00:00,"321,81",2024-11-11 16:00:00,"224,23",2024-11-11 16:00:00,"148,96",2024-11-11 16:00:00,"396,54",2024-11-11 16:00:00,"156,5",2024-11-11 16:00:00,"58,63",2024-11-11 16:00:00,"63,36",2024-11-11 16:00:00,"46,27",2024-11-11 16:00:00,"602,34",2024-11-11 16:00:00,"408,29",2024-11-11 16:00:00,"212,21"
2024-11-12 16:00:00,"288,51",2024-11-12 16:00:00,"130,35",2024-11-12 16:00:00,"298,84",2024-11-12 16:00:00,"224,23",2024-11-12 16:00:00,"145,17",2024-11-12 16:00:00,"393,01",2024-11-12 16:00:00,"155,29",2024-11-12 16:00:00,"58,71",2024-11-12 16:00:00,"63,2",2024-11-12 16:00:00,"45,04",2024-11-12 16:00:00,"592,59",2024-11-12 16:00:00,"403,08",2024-11-12 16:00:00,"220,38"
2024-11-13 16:00:00,"287,64",2024-11-13 16:00:00,"131,45",2024-11-13 16:00:00,"301,44",2024-11-13 16:00:00,"225,12",2024-11-13 16:00:00,"139,97",2024-11-13 16:00:00,"387,07",2024-11-13 16:00:00,"158,72",2024-11-13 16:00:00,"59,18",2024-11-13 16:00:00,63,2024-11-13 16:00:00,"44,99",2024-11-13 16:00:00,"594,22",2024-11-13 16:00:00,"410,19",2024-11-13 16:00:00,"219,59"
2024-11-14 16:00:00,"288,3",2024-11-14 16:00:00,"132,32",2024-11-14 16:00:00,"295,93",2024-11-14 16:00:00,"228,22",2024-11-14 16:00:00,"138,14",2024-11-14 16:00:00,"387,36",2024-11-14 16:00:00,"161,8",2024-11-14 16:00:00,"57,92",2024-11-14 16:00:00,"62,55",2024-11-14 16:00:00,"44,59",2024-11-14 16:00:00,"588,61",2024-11-14 16:00:00,"405,72",2024-11-14 16:00:00,"217,33"
2024-11-15 16:00:00,"286,87",2024-11-15 16:00:00,"129,79",2024-11-15 16:00:00,"283,61",2024-11-15 16:00:00,225,2024-11-15 16:00:00,"140,19",2024-11-15 16:00:00,"384,07",2024-11-15 16:00:00,"161,42",2024-11-15 16:00:00,"57,46",2024-11-15 16:00:00,"61,74",2024-11-15 16:00:00,"44,04",2024-11-15 16:00:00,"593,54",2024-11-15 16:00:00,"408,18",2024-11-15 16:00:00,"215,75"
2024-11-18 16:00:00,"285,54",2024-11-18 16:00:00,"130,17",2024-11-18 16:00:00,"278,76",2024-11-18 16:00:00,"228,02",2024-11-18 16:00:00,"143,87",2024-11-18 16:00:00,"384,46",2024-11-18 16:00:00,"160,76",2024-11-18 16:00:00,"57,31",2024-11-18 16:00:00,"61,86",2024-11-18 16:00:00,"44,22",2024-11-18 16:00:00,"587,99",2024-11-18 16:00:00,"410,44",2024-11-18 16:00:00,"215,61"
2024-11-19 16:00:00,"285,55",2024-11-19 16:00:00,"128,19",2024-11-19 16:00:00,"279,95",2024-11-19 16:00:00,"228,28",2024-11-19 16:00:00,"145,6",2024-11-19 16:00:00,"382,33",2024-11-19 16:00:00,"159,6",2024-11-19 16:00:00,"57,01",2024-11-19 16:00:00,"62,59",2024-11-19 16:00:00,"43,65",2024-11-19 16:00:00,"581,38",2024-11-19 16:00:00,"406,8",2024-11-19 16:00:00,215
2024-11-20 16:00:00,"287,71",2024-11-20 16:00:00,"127,84",2024-11-20 16:00:00,"287,87",2024-11-20 16:00:00,229,2024-11-20 16:00:00,"146,08",2024-11-20 16:00:00,"381,5",2024-11-20 16:00:00,"161,33",2024-11-20 16:00:00,"57,5",2024-11-20 16:00:00,"62,99",2024-11-20 16:00:00,"43,93",2024-11-20 16:00:00,"581,93",2024-11-20 16:00:00,400,2024-11-20 16:00:00,"213,56"
2024-11-21 16:00:00,293,2024-11-21 16:00:00,"127,32",2024-11-21 16:00:00,"289,9",2024-11-21 16:00:00,"228,52",2024-11-21 16:00:00,"143,41",2024-11-21 16:00:00,"389,59",2024-11-21 16:00:00,"161,63",2024-11-21 16:00:00,"57,56",2024-11-21 16:00:00,"63,76",2024-11-21 16:00:00,"44,81",2024-11-21 16:00:00,"596,11",2024-11-21 16:00:00,"410,45",2024-11-21 16:00:00,"213,01"
