company,ticker,date,close
"American Express Co",AXP,"2024-11-11 16:00:00",292.97
"American Express Co",AXP,"2024-11-12 16:00:00",288.51
"American Express Co",AXP,"2024-11-13 16:00:00",287.64
"American Express Co",AXP,"2024-11-14 16:00:00",288.3
"American Express Co",AXP,"2024-11-15 16:00:00",286.87
"American Express Co",AXP,"2024-11-18 16:00:00",285.54
"American Express Co",AXP,"2024-11-19 16:00:00",285.55
"American Express Co",AXP,"2024-11-20 16:00:00",287.71
"American Express Co",AXP,"2024-11-21 16:00:00",293
"American Express Co",AXP,"2024-11-22 16:00:00",301.3
"American Express Co",AXP,"2024-11-25 16:00:00",305.21
"American Express Co",AXP,"2024-11-26 16:00:00",305.57
"American Express Co",AXP,"2024-11-27 16:00:00",304.25
"American Express Co",AXP,"2024-11-29 13:00:00",304.68
"American Express Co",AXP,"2024-12-02 16:00:00",302.26
"American Express Co",AXP,"2024-12-03 16:00:00",302.11
"American Express Co",AXP,"2024-12-04 16:00:00",302.6
"American Express Co",AXP,"2024-12-05 16:00:00",300.53
"American Express Co",AXP,"2024-12-06 16:00:00",303.99
"American Express Co",AXP,"2024-12-09 16:00:00",296.72
"American Express Co",AXP,"2024-12-10 16:00:00",302.11
"American Express Co",AXP,"2024-12-11 16:00:00",302.34
"American Express Co",AXP,"2024-12-12 16:00:00",300.3
"American Express Co",AXP,"2024-12-13 16:00:00",302.14
"American Express Co",AXP,"2024-12-16 16:00:00",303.57
"American Express Co",AXP,"2024-12-17 16:00:00",301.34
"American Express Co",AXP,"2024-12-18 16:00:00",287.78
"American Express Co",AXP,"2024-12-19 16:00:00",293.08
"American Express Co",AXP,"2024-12-20 16:00:00",298.65
"American Express Co",AXP,"2024-12-23 16:00:00",298.8
"American Express Co",AXP,"2024-12-24 13:00:00",303.46
"American Express Co",AXP,"2024-12-26 16:00:00",303.99
"American Express Co",AXP,"2024-12-27 16:00:00",301.05
"American Express Co",AXP,"2024-12-30 16:00:00",297.33
"American Express Co",AXP,"2024-12-31 16:00:00",296.79
"American Express Co",AXP,"2025-01-02 16:00:00",298.43
"American Express Co",AXP,"2025-01-03 16:00:00",303.08
"American Express Co",AXP,"2025-01-06 16:00:00",301.88
"American Express Co",AXP,"2025-01-07 16:00:00",302.02
"American Express Co",AXP,"2025-01-08 16:00:00",302.85
"American Express Co",AXP,"2025-01-10 16:00:00",293.3
"American Express Co",AXP,"2025-01-13 16:00:00",297.02
"American Express Co",AXP,"2025-01-14 16:00:00",300.36
"American Express Co",AXP,"2025-01-15 16:00:00",312.32
"American Express Co",AXP,"2025-01-16 16:00:00",311.48
"American Express Co",AXP,"2025-01-17 16:00:00",312.56
"American Express Co",AXP,"2025-01-21 16:00:00",317.95
"American Express Co",AXP,"2025-01-22 16:00:00",322.25
"American Express Co",AXP,"2025-01-23 16:00:00",325.87
"American Express Co",AXP,"2025-01-24 16:00:00",321.34
"American Express Co",AXP,"2025-01-27 16:00:00",316.42
"American Express Co",AXP,"2025-01-28 16:00:00",317.04
"American Express Co",AXP,"2025-01-29 16:00:00",315.25
"American Express Co",AXP,"2025-01-30 16:00:00",318.95
"American Express Co",AXP,"2025-01-31 16:00:00",317.45
"American Express Co",AXP,"2025-02-03 16:00:00",316.53
"American Express Co",AXP,"2025-02-04 16:00:00",315.83
"American Express Co",AXP,"2025-02-05 16:00:00",320.53
"American Express Co",AXP,"2025-02-06 16:00:00",320.15
"American Express Co",AXP,"2025-02-07 16:00:00",316.77
"American Express Co",AXP,"2025-02-10 16:00:00",310.26
"American Express Co",AXP,"2025-02-11 16:00:00",309.57
"American Express Co",AXP,"2025-02-12 16:00:00",306.4
"American Express Co",AXP,"2025-02-13 16:00:00",307.5
"American Express Co",AXP,"2025-02-14 16:00:00",311.04
"American Express Co",AXP,"2025-02-18 16:00:00",312.85
"American Express Co",AXP,"2025-02-19 16:00:00",309.92
"American Express Co",AXP,"2025-02-20 16:00:00",303.86
"American Express Co",AXP,"2025-02-21 16:00:00",295.4
"American Express Co",AXP,"2025-02-24 16:00:00",295.53
"American Express Co",AXP,"2025-02-25 16:00:00",293.34
"American Express Co",AXP,"2025-02-26 16:00:00",296.1
"American Express Co",AXP,"2025-02-27 16:00:00",294.2
"American Express Co",AXP,"2025-02-28 16:00:00",300.96
"American Express Co",AXP,"2025-03-03 16:00:00",295.49
"American Express Co",AXP,"2025-03-04 16:00:00",283.47
"American Express Co",AXP,"2025-03-05 16:00:00",284.18
"American Express Co",AXP,"2025-03-06 16:00:00",275.64
"American Express Co",AXP,"2025-03-07 16:00:00",273.21
"American Express Co",AXP,"2025-03-10 16:00:00",261.32
"American Express Co",AXP,"2025-03-11 16:00:00",255.39
"American Express Co",AXP,"2025-03-12 16:00:00",260.75
"American Express Co",AXP,"2025-03-13 16:00:00",256.43
"American Express Co",AXP,"2025-03-14 16:00:00",265.63
"American Express Co",AXP,"2025-03-17 16:00:00",264.38
"American Express Co",AXP,"2025-03-18 16:00:00",262.72
"American Express Co",AXP,"2025-03-19 16:00:00",270.65
"American Express Co",AXP,"2025-03-20 16:00:00",270.83
"American Express Co",AXP,"2025-03-21 16:00:00",270.51
"American Express Co",AXP,"2025-03-24 16:00:00",277.86
"American Express Co",AXP,"2025-03-25 16:00:00",279.28
"American Express Co",AXP,"2025-03-26 16:00:00",276
"American Express Co",AXP,"2025-03-27 16:00:00",272.02
